title,image,describe,category,ID
MALM,C:\Users\admin\Downloads\app_30798308\malm-bed-frame-high-w-2-storage-boxes-white-luroey__1154393_pe886042_s5.jpg,A clean design that’s just as beautiful on all sides – place the bed freestanding or with the headboard against a wall. You also get spacious storage boxes that roll out smoothly on castors.,bed,00001
MALM,C:\Users\admin\Downloads\app_30798308\malm-bed-frame-high-white-luroey__0749130_pe745499_s5.jpg,"A clean design that’s just as beautiful on all sides – place the bed freestanding or with the headboard against a wall. If you need space for extra bedding, add MALM bed storage boxes on castors.",bed,00002
HEMNES,C:\Users\admin\Downloads\app_30798308\hemnes-day-bed-frame-with-3-drawers-white__1180454_pe896328_s5.jpg,"A sofa, a single bed, a double bed and storage in one piece of furniture! Perfect if you are tight of space. If you like the style, you can combine it with other furniture in the HEMNES series.",bed,00003
SLATTUM,C:\Users\admin\Downloads\app_30798308\slattum-upholstered-bed-frame-vissle-dark-grey__1259335_pe926650_s5.jpg,SLATTUM bed frame has soft upholstery and a padded headboard that complete the stylish and simple lines. Easy to like – and convenient to bring home thanks to the whole frame coming in a single package.,bed,00004
MALM,C:\Users\admin\Downloads\app_30798308\malm-bed-frame-high-w-2-storage-boxes-white-luroey__1154404_pe886051_s5.jpg,A clean design that’s just as beautiful on all sides – place the bed freestanding or with the headboard against a wall. You also get spacious storage boxes that roll out smoothly on castors.,bed,00005
MALM,C:\Users\admin\Downloads\app_30798308\malm-ottoman-bed-white__0749127_pe745496_s5.jpg,This bed gives you spacious storage without taking up more floor space. Simply flip up the bed base and hide your things inside. Place it freestanding or with the headboard against a wall.,bed,00006
RAMNEFJÄLL,C:\Users\admin\Downloads\app_30798308\ramnefjaell-upholstered-bed-frame-kilanda-light-beige-luroey__1258172_pe927371_s5.jpg,This upholstered bed frame makes your bedroom feel soft and warm. The curved headboard and piped edges create a classic look – and the entire cover is removable and machine washable.,bed,00007
BRIMNES,C:\Users\admin\Downloads\app_30798308\brimnes-bed-frame-w-storage-and-headboard-white-luroey__1151032_pe884763_s5.jpg,A bed frame with hidden storage in several places – perfect if you live in a small space. The BRIMNES series has several smart solutions that help you save space.,bed,00008
NEIDEN,C:\Users\admin\Downloads\app_30798308\neiden-bed-frame-pine-luroey__0749131_pe745500_s5.jpg,"The natural solid wood is beautiful as it is or you can make it more personal by staining, painting or waxing it. Also, the bed frame is high enough so you can place storage boxes underneath.",bed,00009
BALESTRAND,C:\Users\admin\Downloads\app_30798308\balestrand-divan-base-with-drawer-left-skiftebo-grey__0593051_pe674876_s5.jpg,Extra storage space in the pull-out drawer underneath.,bed,00010
HEMNES,C:\Users\admin\Downloads\app_30798308\hemnes-bed-frame-white-stain-luroey__0637516_pe698353_s5.jpg,"Sustainable beauty from sustainably-sourced solid wood, a durable and renewable material that maintains its genuine character with each passing year. Combines with the other furniture in the HEMNES series.",bed,00011
IDANÄS,C:\Users\admin\Downloads\app_30798308\idanaes-upholstered-ottoman-bed-gunnared-dark-grey__1012428_pe829081_s5.jpg,"The sloping headboard and soft upholstery make IDANÄS ottoman bed extra comfortable. Classic button detailing is timeless, while the space under the bed adds generous everyday storage.",bed,00012
HEMNES,C:\Users\admin\Downloads\app_30798308\hemnes-day-bed-w-3-drawers-2-mattresses-white-afjaell-medium-firm__1180460_pe896336_s5.jpg,"A sofa, a single bed, a double bed and storage in one piece of furniture! Perfect if you are tight of space. If you like the style, you can combine it with other furniture in the HEMNES series.",bed,00013
SONGESAND,C:\Users\admin\Downloads\app_30798308\songesand-bed-frame-white-luroey__0638583_pe699000_s5.jpg,"A sturdy bed frame with soft, profile edges and high legs. A classic shape that will last for many years. Complete with SONGESAND bed storage boxes to store extra bedding without taking up more space.",bed,00014
NORDLI,C:\Users\admin\Downloads\app_30798308\nordli-bed-frame-with-storage-and-mattress-with-headboard-white-valevag-medium-firm__1236227_pe917503_s5.jpg,"There’s plenty of space in the drawers for clothes, extra duvets and sweet dreams – and you can position the headboard’s box and shelf so your favourite book is easy to reach. A perfect combination!",bed,00015
MALM,C:\Users\admin\Downloads\app_30798308\malm-bed-frame-high-w-4-storage-boxes-white-luroey__1154393_pe886042_s5.jpg,A clean design that’s just as beautiful on all sides – place the bed freestanding or with the headboard against a wall. You also get spacious storage boxes that roll out smoothly on castors.,bed,00016
SLÄKT,C:\Users\admin\Downloads\app_30798308\slaekt-bed-frame-with-underbed-and-storage-white__0637775_pe698535_s5.jpg,"It can feel scary sleeping alone. Under this bed frame there is an extra bed and 2 drawers for the duvet and pillow. Perfect for siblings who share a room, friends or when it's time for a bedtime story.",bed,00017
MALM,C:\Users\admin\Downloads\app_30798308\malm-bed-frame-high-white-luroey__0637620_pe704551_s5.jpg,"A clean design that’s just as beautiful on all sides – place the bed freestanding or with the headboard against a wall. If you need space for extra bedding, add MALM bed storage boxes on castors.",bed,00018
BRIMNES,C:\Users\admin\Downloads\app_30798308\brimnes-bed-frame-with-storage-white-luroey__1151024_pe884762_s5.jpg,When you live in a small space you need to be clever. That’s probably why you’re looking at this bed frame with 4 spacious drawers. The BRIMNES series has several heroes that help you save space.,bed,00019
SLÄKT,C:\Users\admin\Downloads\app_30798308\slaekt-bed-frame-w-storage-slatted-bedbase-white__0648346_pe704865_s5.jpg,"A teenager's dream. A nice bed with lots of storage which swallows up everything from t-shirts to hobby things, and not least, dirty laundry. Everything in a small space and at a comfortable distance.",bed,00020
KLEPPSTAD,C:\Users\admin\Downloads\app_30798308\kleppstad-bed-frame-white-vissle-beige__1035340_pe840527_s5.jpg,KLEPPSTAD has a stylish and modern design with a metal bed frame and a cosy textile headboard. Easy to both buy and take home since it’s sold as two compact packages. So practical and convenient!,bed,00021
GLADSTAD,C:\Users\admin\Downloads\app_30798308\gladstad-upholstered-bed-2-storage-boxes-kabusa-light-grey__1116349_pe872495_s5.jpg,GLADSTAD upholstered bed frame with bed storage boxes has a clean and modern design with a padded headboard and soft cover. The storage boxes are easy to roll in under the bed – for practical storage.,bed,00022
SONGESAND,C:\Users\admin\Downloads\app_30798308\songesand-bed-frame-with-2-storage-boxes-white-luroey__1151019_pe884760_s5.jpg,"A sturdy bed frame with soft, profile edges and high legs. A classic shape that will last for many years. Also, there are spacious storage boxes under the bed where you can store bedding or clothes.",bed,00023
STJÄRNÖ,C:\Users\admin\Downloads\app_30798308\stjaernoe-bed-frame-white-luroey__1298098_pe936071_s5.jpg,Classic bed frame with a curved headboard and footboard – and decorative details that add a twist to the steel design. Dress with your favourite linens to make the bed an eye-catcher and personal haven.,bed,00024
BALESTRAND,C:\Users\admin\Downloads\app_30798308\balestrand-divan-bed-with-1-drawer-right-skiftebo-grey__0616673_pe687735_s5.jpg,Extra storage space in the pull-out drawer underneath.,bed,00025
IDANÄS,C:\Users\admin\Downloads\app_30798308\idanaes-upholstered-bed-frame-gunnared-dark-grey__0953724_pe802884_s5.jpg,The sloping headboard and soft upholstery make IDANÄS upholstered bed frame extra comfortable. Wake up with coffee and a morning paper! Classic button detailing and turned wooden legs are timeless.,bed,00026
NEIDEN,C:\Users\admin\Downloads\app_30798308\neiden-bed-frame-pine-luroey__0749132_pe745501_s5.jpg,"The natural solid wood is beautiful as it is or you can make it more personal by staining, painting or waxing it. Also, the bed frame is high enough so you can place storage boxes underneath.",bed,00027
